kernel-name,dispatch,gpu-id,queue-id,queue-index,tid,grd,wgr,lds,scr,vgpr,sgpr,fbar,sig,time,VALUBusy,performance,LDSInsts,LDSBankConflict,L1MemoryBusy,L1MemoryStalled,L2WriteUnitStalled,L2CacheHit
"_Z17mean_delta_kernelPfS_iiiS_",0,0,0,6,32863,1576960,64,0,0,3,2,0,0x0,0.000067,3.595513,329.789134,0,0.000000,0.209363,0.030775,0.000000,83.823529
"_Z17mean_delta_kernelPfS_iiiS_",1,0,0,8,32863,1576960,64,0,0,3,2,0,0x0,0.000071,3.392017,311.209465,0,0.000000,0.098757,0.147585,0.000000,81.138790
"_Z17mean_delta_kernelPfS_iiiS_",2,0,0,9,32863,1576960,64,0,0,3,2,0,0x0,0.000067,3.594005,329.789134,0,0.000000,0.104638,0.033326,0.000000,83.823529
"_Z17mean_delta_kernelPfS_iiiS_",3,0,0,10,32863,1576960,64,0,0,3,2,0,0x0,0.000069,3.492620,324.939294,0,0.000000,0.101686,0.146527,0.000000,81.138790
"_Z17mean_delta_kernelPfS_iiiS_",4,0,0,11,32863,1576960,64,0,0,3,2,0,0x0,0.000069,3.498483,324.939294,0,0.000000,0.101857,0.144278,0.000000,81.138790
"_Z17mean_delta_kernelPfS_iiiS_",5,0,0,12,32863,1576960,64,0,0,3,2,0,0x0,0.000069,3.494171,324.939294,0,0.000000,0.203462,0.196212,0.000000,81.138790
"_Z17mean_delta_kernelPfS_iiiS_",6,0,0,13,32863,1576960,64,0,0,3,2,0,0x0,0.000069,3.485169,320.230029,0,0.000000,0.101469,0.149605,0.000000,80.281690
"_Z17mean_delta_kernelPfS_iiiS_",7,0,0,14,32863,1576960,64,0,0,3,2,0,0x0,0.000069,3.490691,320.230029,0,0.000000,0.101630,0.160480,0.000000,80.851064
"_Z17mean_delta_kernelPfS_iiiS_",8,0,0,15,32863,1576960,64,0,0,3,2,0,0x0,0.000067,3.585349,329.789134,0,0.000000,0.208771,0.067886,0.000000,83.823529
"_Z17mean_delta_kernelPfS_iiiS_",9,0,0,16,32863,1576960,64,0,0,3,2,0,0x0,0.000067,3.584415,329.789134,0,0.000000,0.208717,0.046252,0.000000,83.823529
"_Z17mean_delta_kernelPfS_iiiS_",10,0,0,17,32863,1576960,64,0,0,3,2,0,0x0,0.000067,3.584315,329.789134,0,0.000000,0.104356,0.034630,0.000000,83.823529
