path,function,time,blocks,matrix
./data/kernels/14322/11/main.cu,kernel_test5_init,14.621,"(8, 8)","(240, 240)"
./data/kernels/14322/11/main.cu,kernel_test5_init,13.491,"(16, 16)","(240, 240)"
./data/kernels/14322/11/main.cu,kernel_test5_init,13.621,"(24, 24)","(240, 240)"
./data/kernels/14322/11/main.cu,kernel_test5_init,13.651,"(32, 32)","(240, 240)"
./data/kernels/14322/11/main.cu,kernel_test5_init,14.221,"(1, 64)","(240, 240)"
./data/kernels/14322/11/main.cu,kernel_test5_init,13.571,"(1, 128)","(240, 240)"
./data/kernels/14322/11/main.cu,kernel_test5_init,13.721,"(1, 192)","(240, 240)"
./data/kernels/14322/11/main.cu,kernel_test5_init,13.631,"(1, 256)","(240, 240)"
./data/kernels/14322/11/main.cu,kernel_test5_init,13.681,"(1, 320)","(240, 240)"
./data/kernels/14322/12/main.cu,kernel_test5_move,16.251,"(8, 8)","(240, 240)"
./data/kernels/14322/12/main.cu,kernel_test5_move,13.271,"(16, 16)","(240, 240)"
./data/kernels/14322/12/main.cu,kernel_test5_move,13.331,"(24, 24)","(240, 240)"
./data/kernels/14322/12/main.cu,kernel_test5_move,13.391,"(32, 32)","(240, 240)"
./data/kernels/14322/12/main.cu,kernel_test5_move,13.461,"(1, 64)","(240, 240)"
./data/kernels/14322/12/main.cu,kernel_test5_move,13.351,"(1, 128)","(240, 240)"
./data/kernels/14322/12/main.cu,kernel_test5_move,13.661,"(1, 192)","(240, 240)"
./data/kernels/14322/12/main.cu,kernel_test5_move,13.521,"(1, 256)","(240, 240)"
./data/kernels/14322/12/main.cu,kernel_test5_move,13.641,"(1, 320)","(240, 240)"
./data/kernels/14322/14/main.cu,kernel_movinv32_write,15.551,"(8, 8)","(240, 240)"
./data/kernels/14322/14/main.cu,kernel_movinv32_write,15.181,"(16, 16)","(240, 240)"
./data/kernels/14322/14/main.cu,kernel_movinv32_write,14.961,"(24, 24)","(240, 240)"
./data/kernels/14322/14/main.cu,kernel_movinv32_write,14.951,"(32, 32)","(240, 240)"
./data/kernels/14322/14/main.cu,kernel_movinv32_write,14.641,"(1, 64)","(240, 240)"
./data/kernels/14322/14/main.cu,kernel_movinv32_write,14.584,"(1, 128)","(240, 240)"
./data/kernels/14322/14/main.cu,kernel_movinv32_write,14.853,"(1, 192)","(240, 240)"
./data/kernels/14322/14/main.cu,kernel_movinv32_write,14.884,"(1, 256)","(240, 240)"
./data/kernels/14322/14/main.cu,kernel_movinv32_write,14.674,"(1, 320)","(240, 240)"
./data/kernels/14322/17/main.cu,kernel_test7_write,16.241,"(8, 8)","(240, 240)"
./data/kernels/14322/17/main.cu,kernel_test7_write,16.331,"(16, 16)","(240, 240)"
./data/kernels/14322/17/main.cu,kernel_test7_write,16.321,"(24, 24)","(240, 240)"
./data/kernels/14322/17/main.cu,kernel_test7_write,15.821,"(32, 32)","(240, 240)"
./data/kernels/14322/20/main.cu,kernel_modtest_write,14.541,"(8, 8)","(240, 240)"
./data/kernels/14322/20/main.cu,kernel_modtest_write,13.881,"(16, 16)","(240, 240)"
./data/kernels/14322/20/main.cu,kernel_modtest_write,14.871,"(24, 24)","(240, 240)"
./data/kernels/14322/20/main.cu,kernel_modtest_write,15.011,"(32, 32)","(240, 240)"
./data/kernels/14322/20/main.cu,kernel_modtest_write,14.651,"(1, 64)","(240, 240)"
./data/kernels/14322/20/main.cu,kernel_modtest_write,14.211,"(1, 128)","(240, 240)"
./data/kernels/14322/20/main.cu,kernel_modtest_write,14.701,"(1, 192)","(240, 240)"
./data/kernels/14322/20/main.cu,kernel_modtest_write,14.461,"(1, 256)","(240, 240)"
./data/kernels/14322/20/main.cu,kernel_modtest_write,14.601,"(1, 320)","(240, 240)"
./data/kernels/14324/0/main.cu,sum,15.331,"(8, 8)","(240, 240)"
./data/kernels/14324/0/main.cu,sum,16.791,"(16, 16)","(240, 240)"
./data/kernels/14324/0/main.cu,sum,16.152,"(24, 24)","(240, 240)"
./data/kernels/14324/0/main.cu,sum,15.841,"(32, 32)","(240, 240)"
./data/kernels/14324/0/main.cu,sum,15.131,"(1, 64)","(240, 240)"
./data/kernels/14324/0/main.cu,sum,15.371,"(1, 128)","(240, 240)"
./data/kernels/14324/0/main.cu,sum,15.171,"(1, 192)","(240, 240)"
./data/kernels/14324/0/main.cu,sum,15.121,"(1, 256)","(240, 240)"
./data/kernels/14324/0/main.cu,sum,16.691,"(1, 320)","(240, 240)"
./data/kernels/14324/0/main.cu,sum,17.361,"(1, 384)","(240, 240)"
./data/kernels/14324/0/main.cu,sum,17.231,"(1, 448)","(240, 240)"
./data/kernels/14324/0/main.cu,sum,17.562,"(1, 512)","(240, 240)"
./data/kernels/14324/0/main.cu,sum,16.481,"(1, 576)","(240, 240)"
./data/kernels/14324/0/main.cu,sum,15.341,"(1, 640)","(240, 240)"
./data/kernels/14324/0/main.cu,sum,15.091,"(1, 704)","(240, 240)"
./data/kernels/14324/0/main.cu,sum,15.381,"(1, 768)","(240, 240)"
./data/kernels/14324/0/main.cu,sum,15.281,"(1, 832)","(240, 240)"
./data/kernels/14324/0/main.cu,sum,15.272,"(1, 896)","(240, 240)"
./data/kernels/14324/0/main.cu,sum,15.501,"(1, 960)","(240, 240)"
./data/kernels/14324/0/main.cu,sum,15.101,"(1, 1024)","(240, 240)"
./data/kernels/14324/0/main.cu,sum,15.671,"(8, 8)","(496, 496)"
./data/kernels/14324/0/main.cu,sum,16.151,"(16, 16)","(496, 496)"
./data/kernels/14324/0/main.cu,sum,15.422,"(24, 24)","(496, 496)"
./data/kernels/14324/0/main.cu,sum,17.121,"(32, 32)","(496, 496)"
./data/kernels/14324/0/main.cu,sum,16.191,"(1, 64)","(496, 496)"
./data/kernels/14324/0/main.cu,sum,15.401,"(1, 128)","(496, 496)"
./data/kernels/14324/0/main.cu,sum,15.791,"(1, 192)","(496, 496)"
./data/kernels/14324/0/main.cu,sum,15.801,"(1, 256)","(496, 496)"
./data/kernels/14324/0/main.cu,sum,17.511,"(1, 320)","(496, 496)"
./data/kernels/14324/0/main.cu,sum,16.021,"(1, 384)","(496, 496)"
./data/kernels/14324/0/main.cu,sum,15.182,"(1, 448)","(496, 496)"
./data/kernels/14324/0/main.cu,sum,17.531,"(1, 512)","(496, 496)"
./data/kernels/14324/0/main.cu,sum,16.881,"(1, 576)","(496, 496)"
./data/kernels/14324/0/main.cu,sum,15.771,"(1, 640)","(496, 496)"
./data/kernels/14324/0/main.cu,sum,16.141,"(1, 704)","(496, 496)"
./data/kernels/14324/0/main.cu,sum,17.211,"(1, 768)","(496, 496)"
./data/kernels/14324/0/main.cu,sum,16.601,"(1, 832)","(496, 496)"
./data/kernels/14324/0/main.cu,sum,16.091,"(1, 896)","(496, 496)"
./data/kernels/14324/0/main.cu,sum,15.171,"(1, 960)","(496, 496)"
./data/kernels/14324/0/main.cu,sum,15.721,"(1, 1024)","(496, 496)"
./data/kernels/14324/0/main.cu,sum,16.711,"(8, 8)","(784, 784)"
./data/kernels/14324/0/main.cu,sum,15.991,"(16, 16)","(784, 784)"
./data/kernels/14324/0/main.cu,sum,15.651,"(24, 24)","(784, 784)"
./data/kernels/14324/0/main.cu,sum,15.901,"(32, 32)","(784, 784)"
./data/kernels/14324/0/main.cu,sum,15.662,"(1, 64)","(784, 784)"
