path,function,time,blocks,matrix
./data/kernels/16910/21/main.cu,average_snips,22.53,"(8, 8)","(240, 240)"
./data/kernels/16910/21/main.cu,average_snips,24.32,"(16, 16)","(240, 240)"
./data/kernels/16910/21/main.cu,average_snips,23.01,"(24, 24)","(240, 240)"
./data/kernels/16910/21/main.cu,average_snips,23.54,"(32, 32)","(240, 240)"
./data/kernels/16910/21/main.cu,average_snips,23.39,"(1, 64)","(240, 240)"
./data/kernels/16910/21/main.cu,average_snips,23.61,"(1, 128)","(240, 240)"
./data/kernels/16910/21/main.cu,average_snips,23.54,"(1, 192)","(240, 240)"
./data/kernels/16910/21/main.cu,average_snips,24.74,"(1, 256)","(240, 240)"
./data/kernels/16910/21/main.cu,average_snips,23.72,"(1, 320)","(240, 240)"
./data/kernels/16910/21/main.cu,average_snips,26.32,"(1, 384)","(240, 240)"
./data/kernels/16910/21/main.cu,average_snips,23.8,"(1, 448)","(240, 240)"
./data/kernels/16910/21/main.cu,average_snips,24.25,"(1, 512)","(240, 240)"
./data/kernels/16910/21/main.cu,average_snips,24.02,"(1, 576)","(240, 240)"
./data/kernels/16910/21/main.cu,average_snips,27.261,"(1, 640)","(240, 240)"
./data/kernels/16910/21/main.cu,average_snips,25.88,"(1, 704)","(240, 240)"
./data/kernels/16910/21/main.cu,average_snips,25.86,"(1, 768)","(240, 240)"
./data/kernels/16910/21/main.cu,average_snips,23.62,"(1, 832)","(240, 240)"
./data/kernels/16910/21/main.cu,average_snips,24.551,"(1, 896)","(240, 240)"
./data/kernels/16910/21/main.cu,average_snips,24.71,"(1, 960)","(240, 240)"
./data/kernels/16910/21/main.cu,average_snips,23.8,"(1, 1024)","(240, 240)"
./data/kernels/16910/21/main.cu,average_snips,25.17,"(8, 8)","(496, 496)"
./data/kernels/16910/21/main.cu,average_snips,25.09,"(16, 16)","(496, 496)"
./data/kernels/16910/21/main.cu,average_snips,24.26,"(24, 24)","(496, 496)"
./data/kernels/16910/21/main.cu,average_snips,33.36,"(32, 32)","(496, 496)"
./data/kernels/16910/21/main.cu,average_snips,24.54,"(1, 64)","(496, 496)"
./data/kernels/16910/21/main.cu,average_snips,25.14,"(1, 128)","(496, 496)"
./data/kernels/16910/21/main.cu,average_snips,25.47,"(1, 192)","(496, 496)"
./data/kernels/16910/21/main.cu,average_snips,24.86,"(1, 256)","(496, 496)"
./data/kernels/16910/21/main.cu,average_snips,25.67,"(1, 320)","(496, 496)"
./data/kernels/16910/21/main.cu,average_snips,24.7,"(1, 384)","(496, 496)"
./data/kernels/16910/21/main.cu,average_snips,23.92,"(1, 448)","(496, 496)"
./data/kernels/16910/21/main.cu,average_snips,26.22,"(1, 512)","(496, 496)"
