path,function,time,blocks,matrix
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.34,"(8, 8)","(240, 240)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,15.54,"(16, 16)","(240, 240)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,15.26,"(24, 24)","(240, 240)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,15.81,"(32, 32)","(240, 240)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,15.62,"(1, 64)","(240, 240)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,15.64,"(1, 128)","(240, 240)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,15.68,"(1, 192)","(240, 240)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.17,"(1, 256)","(240, 240)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.23,"(1, 320)","(240, 240)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,15.64,"(1, 384)","(240, 240)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,15.61,"(1, 448)","(240, 240)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,15.53,"(1, 512)","(240, 240)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.03,"(1, 576)","(240, 240)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.001,"(1, 640)","(240, 240)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,15.45,"(1, 704)","(240, 240)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.081,"(1, 768)","(240, 240)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,15.86,"(1, 832)","(240, 240)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,15.6,"(1, 896)","(240, 240)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.36,"(1, 960)","(240, 240)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.33,"(1, 1024)","(240, 240)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.25,"(8, 8)","(496, 496)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,15.82,"(16, 16)","(496, 496)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,15.63,"(24, 24)","(496, 496)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,15.75,"(32, 32)","(496, 496)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,15.94,"(1, 64)","(496, 496)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,15.68,"(1, 128)","(496, 496)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,15.77,"(1, 192)","(496, 496)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,15.96,"(1, 256)","(496, 496)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.03,"(1, 320)","(496, 496)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,15.68,"(1, 384)","(496, 496)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.05,"(1, 448)","(496, 496)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.23,"(1, 512)","(496, 496)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,15.85,"(1, 576)","(496, 496)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.63,"(1, 640)","(496, 496)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.06,"(1, 704)","(496, 496)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.28,"(1, 768)","(496, 496)"
